http://data.ehri-project.eu/ghettos/1282,ron,Ghetoul Narodîci
http://data.ehri-project.eu/ghettos/1282,deu,Ghetto Narodytschi
http://data.ehri-project.eu/ghettos/1282,eng,Narodichi Ghetto
http://data.ehri-project.eu/ghettos/1282,pol,Narodycze (Getto)
http://data.ehri-project.eu/ghettos/1391,deu,Ghetto Woutschyn
http://data.ehri-project.eu/ghettos/1391,pol,Wołczyn (Getto)
http://data.ehri-project.eu/ghettos/1391,nld,Ghetto van Vowchyn
http://data.ehri-project.eu/ghettos/1391,ron,Ghetoul Voŭčyn
http://data.ehri-project.eu/ghettos/1391,eng,Wołczyn Ghetto
http://data.ehri-project.eu/ghettos/1391,ces,Ghetto Wołczyn
http://data.ehri-project.eu/ghettos/1391,ita,Ghetto di Voŭčyn
http://data.ehri-project.eu/ghettos/1391,rus,Волчин (Гетто)
http://data.ehri-project.eu/ghettos/1391,fra,Ghetto de Vowchyn
http://data.ehri-project.eu/ghettos/1174,nld,Ghetto van Działoszyce
http://data.ehri-project.eu/ghettos/1174,srp,Ђалошице (Гето)
http://data.ehri-project.eu/ghettos/1174,deu,Ghetto Działoszyce
http://data.ehri-project.eu/ghettos/1174,rus,Дзялошице (Гетто)
http://data.ehri-project.eu/ghettos/1174,pol,Działoszyce (Getto)
http://data.ehri-project.eu/ghettos/1174,heb,גטו דז'יאלושיצה
http://data.ehri-project.eu/ghettos/1174,ukr,Дзялошице (Гетто)
http://data.ehri-project.eu/ghettos/1174,ron,Ghetoul Działoszyce
http://data.ehri-project.eu/ghettos/1174,eng,Działoszyce Ghetto
http://data.ehri-project.eu/ghettos/1174,fra,Ghetto de Działoszyce
http://data.ehri-project.eu/ghettos/1198,eng,Iarmolintsy Ghetto
http://data.ehri-project.eu/ghettos/1198,rus,Ярмолинцы (Гетто)
http://data.ehri-project.eu/ghettos/1198,ron,Ghetoul Iarmolînți
http://data.ehri-project.eu/ghettos/1198,ukr,Ярмолинці (Гетто)
http://data.ehri-project.eu/ghettos/1198,pol,Jarmolińce (Getto)
http://data.ehri-project.eu/ghettos/1198,deu,Ghetto Jarmolynzi
http://data.ehri-project.eu/ghettos/1198,nld,Ghetto van Yarmolyntsi
http://data.ehri-project.eu/ghettos/1219,eng,Kalius Ghetto
http://data.ehri-project.eu/ghettos/1219,ukr,Калюс (Гетто)
http://data.ehri-project.eu/ghettos/1219,rus,Калюс (Гетто)
http://data.ehri-project.eu/ghettos/1328,pol,Rumszyszki (Getto)
http://data.ehri-project.eu/ghettos/1328,nld,Ghetto van Rumšiškės
http://data.ehri-project.eu/ghettos/1328,fra,Ghetto de Rumšiškės
http://data.ehri-project.eu/ghettos/1328,eng,Rumšiškės Ghetto
http://data.ehri-project.eu/ghettos/1328,deu,Ghetto Rumšiškės
http://data.ehri-project.eu/ghettos/1308,ukr,Плунге (Гетто)
http://data.ehri-project.eu/ghettos/1308,ita,Ghetto di Plungė
http://data.ehri-project.eu/ghettos/1308,heb,גטו פלונגה
http://data.ehri-project.eu/ghettos/1308,fra,Ghetto de Plungė
http://data.ehri-project.eu/ghettos/1308,eng,Plungė Ghetto
http://data.ehri-project.eu/ghettos/1308,ces,Ghetto Plungė
http://data.ehri-project.eu/ghettos/1308,rus,Плунге (Гетто)
http://data.ehri-project.eu/ghettos/1308,deu,Ghetto Plungė
http://data.ehri-project.eu/ghettos/1308,hun,Plungė (Gettó)
http://data.ehri-project.eu/ghettos/1308,bul,Плунге (Гето)
